x, y
8.522234, -2.583962
12.458487, -17.756375
-1.802503, -1.632842
3.541622, 20.748724
-11.185965, -3.572398
-8.190632, 14.865473
14.577734, 11.985617
8.518551, 0.443059
13.089004, 12.236694
-16.608794, 3.576789
13.432644, 3.309377
-11.665250, 9.567633
17.420959, -0.152875
2.168562, -16.516210
12.477776, 12.757633
-19.500584, -7.704407
-4.403727, 17.489398
0.408963, 7.041791
-0.405514, -11.997035
-18.477404, -2.457713
-2.535676, -1.743453
12.981958, -18.245268
-17.869900, 0.728876
3.263336, 20.860800
-4.149061, 8.488911
0.331169, 11.761507
-9.934180, -5.455126
12.625492, -0.858047
-18.754820, -12.177448
-21.777678, -1.842876
19.623904, -1.659582
-0.280981, 7.870863
0.598553, -12.719560
-19.667315, -2.213919
8.573215, -17.759543
-10.466713, 9.478692
-1.157274, -14.456498
9.325354, -18.152782
-11.081306, -8.474770
0.872618, -15.466695
11.431315, 14.899617
3.348149, 7.024619
-13.171150, -7.027086
-16.821568, -3.272627
17.488153, 3.835491
-13.217463, -2.357096
4.641862, 4.892058
-9.359701, 6.871947
10.095030, 6.065208
12.041922, 0.894341
14.324812, -1.153928
14.275527, -15.712355
-14.422047, -12.037853
1.369766, 18.042927
-14.370250, -3.414737
1.650148, 5.718567
15.623822, -13.757361
-16.775756, -1.674250
-5.220325, -2.423953
4.385469, 20.674535
-1.323364, -0.659450
-15.782402, 6.693960
-1.096882, -15.527682
12.228202, -17.226791
-5.791219, 1.210265
-11.666333, 9.175208
-1.090990, -17.754498
8.236061, 18.002302
17.158083, -11.887614
9.680106, -15.553668
10.835481, 11.257893
-21.375181, -3.469984
11.269204, 13.649350
0.349816, -17.060154
15.708694, 3.372175
10.387694, -17.624470
3.539663, 12.784405
6.088057, 20.340295
4.983176, 18.175865
-21.465661, -2.391600
11.216127, -11.277738
9.931496, -17.495359
-5.318472, 19.022512
2.118140, -17.504197
-13.786545, -9.840490
2.837613, 7.117842
18.056779, -2.956115
-16.058193, -0.182696
15.638710, -13.101202
-16.178502, 2.576688
2.302855, -15.605983
-19.518989, -10.015483
-5.258618, -3.693300
1.405423, -17.284496
2.223603, 6.195412
10.095453, -16.051483
-15.023214, -7.421785
1.206681, 6.111121
15.792590, 3.133213
5.256591, 18.657347
-3.811127, -10.001448
-15.096978, -13.348614
12.056843, 13.141527
-18.253210, -8.677757
13.548355, 11.469544
6.808739, 19.191397
1.470235, -13.367201
10.862424, 1.079556
17.331317, -12.536350
-3.673403, 10.797510
-4.250835, -5.931509
7.625026, -0.518160
11.611324, 14.367828
5.564316, 21.151557
16.383943, -16.763530
-14.997628, 2.202886
-9.316566, -3.291081
-1.946134, 12.262536
12.014506, -14.101725
13.188837, -19.078930
-18.481150, -12.156662
16.368310, -14.080439
-3.098714, 14.989716
-20.296887, -8.281811
10.079966, 14.708521
3.957969, 7.386521
0.063469, -12.727278
-16.870189, 4.106571
12.554323, 15.456162
-2.058144, -17.114829
15.252179, 3.537051
-16.762580, 3.387941
12.581201, 9.785930
-13.954825, -4.984135
2.422913, -3.790910
10.499603, 1.887166
17.896716, 1.556542
2.924559, 9.427963
11.356819, -4.380498
-14.976769, 4.135696
-4.376548, 6.649500
-21.682172, -1.950669
-11.053662, -1.959579
-3.834781, 12.408702
8.582095, 4.897040
-11.252819, 8.493634
1.126196, 8.031333
-0.045279, -15.045523
-12.354425, -2.604361
16.317915, 0.497861
9.020328, 12.324722
0.989727, -16.435466
9.927483, 16.104929
-17.336673, -2.736837
-12.386616, -11.467346
0.372387, -17.445672
